Título,Nota,URL,Etiquetas,Comentario
La Sifonería de Malasaña,,https://www.google.com/maps/place/La+Sifoner%C3%ADa+de+Malasa%C3%B1a/data=!4m2!3m1!1s0xd42290894f87c47:0xa76cb09f27745278,,
Tatemado,,https://www.google.com/maps/place/Tatemado/data=!4m2!3m1!1s0xd4227cdfeb793fb:0xd34916cb5a573b9e,,
Café Comercial,Tapas gratis con bebida y tarta de queso,https://www.google.com/maps/place/Caf%C3%A9+Comercial/data=!4m2!3m1!1s0xd42288a1a3b98b1:0xc40a8fd5d88d281e,,
Pizzart Villa Luchana | Pizzeria Madrid,Pizza y tarta de quedo,https://www.google.com/maps/place/Pizzart+Villa+Luchana+%7C+Pizzeria+Madrid/data=!4m2!3m1!1s0xd42299a2c617675:0x3de620ea1d999cba,,
Bosco de Lobos Madrid,Italiano y tarta de queso,https://www.google.com/maps/place/Bosco+de+Lobos+Madrid/data=!4m2!3m1!1s0xd422888b0abbb3f:0xf3a337adda9e8356,,
Garelos,Tarta de queso ,https://www.google.com/maps/place/Garelos/data=!4m2!3m1!1s0xd42290e000b3e45:0xfb2af6b5d0a42b5c,,
El Hombre Pez,Tarta de queso,https://www.google.com/maps/place/El+Hombre+Pez/data=!4m2!3m1!1s0xd42294c3c78a287:0x446ebabd7c3a1187,,
Josefita Bar,Barato y tarta de queso,https://www.google.com/maps/place/Josefita+Bar/data=!4m2!3m1!1s0xd422938c00f7ed5:0x7f181c2e84d7bbad,,
Restaurante Colósimo,Tortilla y tarta de queso,https://www.google.com/maps/place/Restaurante+Col%C3%B3simo/data=!4m2!3m1!1s0xd4229aceae04cc3:0xa4ffdcebbd0f4753,,
Piantao Legazpi | Parrilla Gastronómica,Tarta de queso,https://www.google.com/maps/place/Piantao+Legazpi+%7C+Parrilla+Gastron%C3%B3mica/data=!4m2!3m1!1s0xd4227c0a498ed43:0xb32fb58f5c99b8db,,
Piantao Chamberi | Parrilla Gastronómica,Tarta de queso,https://www.google.com/maps/place/Piantao+Chamberi+%7C+Parrilla+Gastron%C3%B3mica/data=!4m2!3m1!1s0xd4229ba285b24c1:0x8aa83280f7844422,,
Peppe Fusco The Italian,Tarta de queso,https://www.google.com/maps/place/Peppe+Fusco+The+Italian/data=!4m2!3m1!1s0xd42291b4bb32a7b:0xe26bfe40d6278d18,,
Latasia Casa De Comidas,Tarta de queso,https://www.google.com/maps/place/Latasia+Casa+De+Comidas/data=!4m2!3m1!1s0xd42291cfb6217f9:0x1b513419a6a9f12,,
Restaurante Barra Alta Madrid,tarta de queso,https://www.google.com/maps/place/Restaurante+Barra+Alta+Madrid/data=!4m2!3m1!1s0xd42296adefaa191:0x1d3ec3f4822b9e00,,
Bistronómika,tarta de queso,https://www.google.com/maps/place/Bistron%C3%B3mika/data=!4m2!3m1!1s0xd422629da386ea3:0xbbf8f45a3193bcaa,,
Hermanas Arce,,https://www.google.com/maps/place/Hermanas+Arce/data=!4m2!3m1!1s0xd422939591227a3:0x6e693556c522f53a,,
Martín Tostón,,https://www.google.com/maps/place/Mart%C3%ADn+Tost%C3%B3n/data=!4m2!3m1!1s0xd4229005026b6e7:0x96228b523bf03169,,
LA CHORIPANERIA LAVAPIÉS,,https://www.google.com/maps/place/LA+CHORIPANERIA+LAVAPI%C3%89S/data=!4m2!3m1!1s0xd4227fae0c2dfa7:0xfac68643ffbe5d46,,
LA CHORIPANERIA CHAMBERI,,https://www.google.com/maps/place/LA+CHORIPANERIA+CHAMBERI/data=!4m2!3m1!1s0xd42294e2f0c7dd1:0xba78001f868e4754,,
HUMO Goya Pollos a la Brasa by Jhosef Arias,,https://www.google.com/maps/place/HUMO+Goya+Pollos+a+la+Brasa+by+Jhosef+Arias/data=!4m2!3m1!1s0xd4227f968ad283f:0xadbc4caecb31a4a9,,
Pirulo,,https://www.google.com/maps/place/Pirulo/data=!4m2!3m1!1s0xd422927d0d684c3:0x8d8c4cc7b295f6d5,,
Mercado de Vallehermoso,,https://www.google.com/maps/place/Mercado+de+Vallehermoso/data=!4m2!3m1!1s0xd422979184b8f5f:0xb0341facd1b27b06,,
Batch,,https://www.google.com/maps/place/Batch/data=!4m2!3m1!1s0xd4229783cf04a7d:0xb76191b0c6aa147,,
